device_id,session_time
41e2556c70d78fe186f6bc200428924e,2019-03-01 04:07:00 UTC
a7b621f371bc7cbd8fb26dbf5f356d3b,2019-03-07 08:32:07 UTC
8b0ac93d49be6d287b61e04cd8f089b2,2019-03-01 20:39:38 UTC
c64e8fccba64ecb6a51dfdc33b8f3b09,2019-03-01 09:17:09 UTC
fb35a1152e0554985ceafd8f44ce2f1c,2019-03-05 16:02:13 UTC
0167512e007bfbef68f49d72565afa0e,2019-03-01 09:10:31 UTC
15841b8140af914c99e056fb166202f6,2019-03-02 01:46:01 UTC
2c0eb2325461ca1ee82319e8dc06ed29,2019-03-01 23:42:28 UTC
293398dc55562734a158298d074c07d2,2019-03-04 06:39:45 UTC
e25e112a7f4e76abac5f1902c47cd601,2019-03-02 05:29:23 UTC
c94bc01cc2c797dc65e618ec2bc0f534,2019-03-03 19:07:20 UTC
9ea5b01e11011b4e07bf59042e845295,2019-03-04 16:13:48 UTC
3ad189b451b570b78fac39d40e3460b8,2019-03-01 22:29:22 UTC
0f7debb1f3ce94f4da97d1ef3636c0f6,2019-03-01 02:51:05 UTC
999a9f362ca1881768ff8a76f6cc36e8,2019-03-01 11:06:32 UTC
0a8aae1775afbcea0c97a8749b382120,2019-03-01 04:55:22 UTC
b4d0d1734ed5a2c818b0c07f647c1e93,2019-03-01 07:15:17 UTC
fd4645fd15cb1852a6353b657abbedc2,2019-03-01 16:30:48 UTC
5a1d8e39531923dce1d885661d3c35e9,2019-03-01 05:52:34 UTC
9cbdf170450507c35d23e463d51af943,2019-03-01 15:03:12 UTC
ece12ab11ded3a1515c526a0f851da44,2019-03-01 09:44:56 UTC
d68eff308cadb0eabc10be49babde28a,2019-03-01 13:21:08 UTC
c64e8fccba64ecb6a51dfdc33b8f3b09,2019-03-01 18:23:14 UTC
eeee202c2f66ba877b240e22741ec074,2019-03-04 09:21:34 UTC
1f1ddf7edab10f4f4b563c57d8abc35d,2019-03-05 16:39:59 UTC
262d12efb37e3bd95c2a61fb05db41ec,2019-03-01 21:40:21 UTC
d1bba586104727f641c99514b21074e0,2019-03-01 19:47:12 UTC
9c7172016ceddd61ca44747c9b0efdd1,2019-03-02 04:49:26 UTC
200175abdcb41837353b53aaf5080e26,2019-03-01 06:43:18 UTC
1036f74216cce120a06c44bf8bd4a877,2019-03-01 21:14:02 UTC
3ea1c01f6b5a7a82bfb83a9e8861dbbe,2019-03-02 06:02:15 UTC
66135e31091f6eca81ecd4b15f2c6b5e,2019-03-05 07:07:09 UTC
9c16f516affe1d63b1d3fa610a2accee,2019-03-03 13:25:33 UTC
f6e8f3a00b942ed40810b6c9a328352b,2019-03-02 11:40:42 UTC
ba46a5f4db4961cacf53364bb2b6437c,2019-03-03 01:26:21 UTC
5b99696f14d6e206a8f30ea7d4ab734d,2019-03-01 10:16:48 UTC
1f5e7e5aca4b609ee186ff75387ac1d9,2019-03-01 13:02:41 UTC
9f95c16d6c91315bd747e3ed9b2c9ccf,2019-03-01 11:25:44 UTC
ce51ac97229213a17321bcdbbef039f7,2019-03-01 13:38:57 UTC
2f39597c39bb0ed79e1fbad0ea82f83a,2019-03-01 09:05:46 UTC
69454b6adedab5ec609927768a2b1861,2019-03-01 06:31:58 UTC
302a88b72ab12c996a662f50620023df,2019-03-01 19:11:30 UTC
2d9bb7c6089623c2e0f4e6fe886e71d2,2019-03-01 17:56:55 UTC
7788456a909d91c522a67005f70a1498,2019-03-01 09:19:13 UTC
f6717d53877b5d88c36d9bbdeda0cfc1,2019-03-05 11:41:39 UTC
a57ff9d426ec6302a27797bdb781bdf9,2019-03-01 06:42:03 UTC
0d17f6c43aae6f502e950c2924676f47,2019-03-02 05:30:53 UTC
9dbdd8ce5d8078012ff634a6522629a2,2019-03-06 08:37:29 UTC
6c05e1f4691dda7462e0e7d00adfe3de,2019-03-04 11:08:13 UTC
2a0499db9a359f854277c0d5876c545e,2019-03-01 18:03:46 UTC
d130233e5435692b10e11d8f5cc113bb,2019-03-01 00:13:31 UTC
853bca0310257777314f7a3477129f2d,2019-03-01 14:18:42 UTC
b3b7f0fe3ab128a433c126833012a644,2019-03-01 02:00:48 UTC
465c2e53c82fad7443c482f071ca90b3,2019-03-01 14:57:09 UTC
70ffa839b7c1d5cc3afd1a7909103398,2019-03-01 19:25:22 UTC
a95258d0ca9b53df96142bca9c240025,2019-03-02 10:34:44 UTC
c818a1c83e8e6928132569075768f732,2019-03-01 19:53:18 UTC
da2c3fe325f57fdb3f9e273d7f44471b,2019-03-07 15:47:43 UTC
8ec2376227b5d69911d9fd037632177a,2019-03-01 08:32:56 UTC
f8374e63b7944408d62c3650e5e921e9,2019-03-02 07:39:58 UTC
8658cc2f2b8229ee31cd1e52368d640e,2019-03-02 07:46:50 UTC
7c945836975f2b2e0612fb74461e923d,2019-03-02 11:57:07 UTC
650a11e41f53404e1c7f1e119f34486e,2019-03-02 09:39:15 UTC
5e79c1d8834e67731155b4ed863315bc,2019-03-03 09:41:17 UTC
41e2556c70d78fe186f6bc200428924e,2019-03-01 01:04:34 UTC
b76276f1ca755605ca0abb585d3c148c,2019-03-01 07:25:40 UTC
cd4d41d6397e94a4bdb1ff887a87b5bd,2019-03-07 11:31:46 UTC
1df4fec140c3affa4ab5def23769610f,2019-03-01 01:59:41 UTC
f6e49d18437ab6289ab659d9a6645c23,2019-03-01 04:24:55 UTC
a2e99340fcf5ea5b0a6997d3a0c4b3e1,2019-03-02 19:30:31 UTC
0167512e007bfbef68f49d72565afa0e,2019-03-02 07:01:06 UTC
3a74e6ffa6683a8ebd3ee28356daad01,2019-03-07 20:05:50 UTC
d985ef3be6ea3481439315cb11cc74c6,2019-03-04 06:50:28 UTC
cd20edf177b2389953bee5f8b9cc361b,2019-03-01 04:34:11 UTC
01511f2fa561d54c9391cc41fc2b48ba,2019-03-01 14:22:42 UTC
9dbdd8ce5d8078012ff634a6522629a2,2019-03-03 10:13:05 UTC
9c7172016ceddd61ca44747c9b0efdd1,2019-03-01 10:28:29 UTC
96011ccf7d70bb706bab648067074959,2019-03-02 05:57:01 UTC
baec4fedcd79879b931c7386637e6e9d,2019-03-01 12:36:36 UTC
156a9b6589ef8e67510965865d4f679d,2019-03-01 13:40:49 UTC
b5991875858f5d2e595295a5a690f813,2019-03-01 08:26:09 UTC
0405c506968b14e4acab803d514edc95,2019-03-01 07:45:41 UTC
7a64fc1672fd1783f555863223af0abd,2019-03-01 04:18:22 UTC
9dbdd8ce5d8078012ff634a6522629a2,2019-03-07 20:56:52 UTC
621cab71a98a7a0935b32ee79765044e,2019-03-05 08:14:14 UTC
b6c79633a013fba0899aa6f948909951,2019-03-02 06:41:13 UTC
5057c42b3f9180b419a6bc2fd15c462c,2019-03-03 12:08:50 UTC
81aac3d73b0294b0dcf143cf1f33b104,2019-03-01 19:17:01 UTC
795164603cb1de8c1446053af06b0b49,2019-03-06 15:31:49 UTC
e109297b057e066b2e9ab63acf45fbd3,2019-03-01 18:08:44 UTC
05560829e6c48c5fa92aaf021567fab7,2019-03-01 01:25:28 UTC
d1f6299a37e471769cd110fda6ea9da4,2019-03-01 11:11:34 UTC
438ce7ca238afa841407afd7ca3eab79,2019-03-02 04:40:22 UTC
5647b93a6074d91c315bd9403758f8e2,2019-03-06 09:52:46 UTC
a8bf78c51591c612d619f1bb256891bd,2019-03-02 15:47:22 UTC
ee02b8b4fa6abad718aece7c2805ce07,2019-03-02 13:02:43 UTC
a7b621f371bc7cbd8fb26dbf5f356d3b,2019-03-03 08:44:46 UTC
44086f431dae5d3187a06d4aa74f8ac4,2019-03-02 00:06:21 UTC
3dbb7fdda378d818890d4cd30e6db4ad,2019-03-03 09:38:59 UTC
a57ff9d426ec6302a27797bdb781bdf9,2019-03-07 20:52:49 UTC
cad6f43051102984595bb11ff395f046,2019-03-06 08:25:16 UTC
3971f149cb12cc9d76b36a81386ff23f,2019-03-04 10:03:36 UTC
a76138136cf33d626b2cb141c8993163,2019-03-01 14:48:39 UTC
d949ac2e3da159ec51841bc6ae63ed65,2019-03-01 09:57:36 UTC
3971f149cb12cc9d76b36a81386ff23f,2019-03-01 05:03:08 UTC
2298fecc0b0b2fd8f939d6042bc78d3d,2019-03-01 14:00:02 UTC
d0f9d7f883b7a8e9991d9011445def36,2019-03-01 22:40:29 UTC
a7b621f371bc7cbd8fb26dbf5f356d3b,2019-03-07 16:02:39 UTC
def041c21b92e4aea4ff9c886f6afa94,2019-03-01 20:40:37 UTC
a8bc1070caac1a9134cb96394dfbfd8f,2019-03-02 04:44:09 UTC
0c3ea2905d478ad28e7899e3af048afd,2019-03-02 14:52:39 UTC
59ca15d562170c799406a0595ed1b3c7,2019-03-01 21:09:09 UTC
9a48f0c50e72279bd0bcdf4ba1b94e91,2019-03-01 07:52:29 UTC
66135e31091f6eca81ecd4b15f2c6b5e,2019-03-04 17:52:22 UTC
b4cb34c82a2248c078bee2c85c6cf222,2019-03-07 11:18:08 UTC
1488b3eeae22f8d9164c714ef8533c27,2019-03-01 08:47:44 UTC
652a1b14ebacb7f49f599ae9ce1df489,2019-03-01 11:25:26 UTC
da26993750e47a0e9cfae3bb495a6abd,2019-03-07 23:49:12 UTC
8a6976000fae6e77787cfa4586aec98a,2019-03-01 18:13:40 UTC
12bc1e57c94e7978df868deb8f40eb60,2019-03-01 11:12:32 UTC
5d916a6e4227f5c899bb30d140922f0b,2019-03-01 12:11:10 UTC
1d359d184c2f00238f49e3871bbdb5f4,2019-03-01 17:02:50 UTC
99b59300f20c4a812a274ccf4dafda42,2019-03-01 13:07:40 UTC
e00a9887e7ff82a7e39892f95e9e582b,2019-03-04 04:40:52 UTC
